launch_power_dbm,n_spans,channel,band,wavelength_nm,analytical_gsnr_db,recursive_gsnr_db,delta_recursive_minus_analytical_db
-2.0,1,220,S,1503.942848943925,27.37406494050176,27.37406494050176,0.0
-2.0,1,221,S,1503.565708553139,27.291114948879596,27.291114948879596,0.0
-2.0,1,222,S,1503.1887572642402,27.206612795734195,27.206612795734195,0.0
-2.0,1,223,S,1502.8119949350378,27.120593830450336,27.120593830450336,0.0
-2.0,1,224,S,1502.4354214234836,27.033098217120546,27.033098217120546,0.0
-2.0,1,225,S,1502.0590365876717,26.94417152823749,26.94417152823749,0.0
-2.0,1,226,S,1501.682840285839,26.853865568713,26.853865568713,0.0
-2.0,1,227,S,1501.3068323763632,26.762239543708894,26.762239543708894,0.0
-2.0,1,228,S,1500.9310127177646,26.66936175076007,26.66936175076007,0.0
-2.0,1,229,S,1500.5553811687053,26.57531209297803,26.57531209297803,0.0
-2.0,1,230,S,1500.1799375879884,26.480185920645095,26.480185920645095,0.0
-2.0,1,231,S,1499.8046818345586,26.384100108592815,26.384100108592815,0.0
-2.0,1,232,S,1499.429613767501,26.287203082282574,26.287203082282574,0.0
-2.0,1,233,S,1499.0547332460424,26.189692244503377,26.189692244503377,0.0
-2.0,1,234,S,1498.6800401295502,26.091846346946504,26.091846346946504,0.0
-2.0,1,235,S,1498.3055342775322,25.994091100217087,25.994091100217087,0.0
-2.0,1,236,S,1497.9312155496366,25.897148990899264,25.897148990899264,0.0
-2.0,1,237,S,1497.557083805652,25.80244638568011,25.80244638568011,0.0
-2.0,1,238,S,1497.1831389055067,25.713582601684173,25.713582601684173,0.0
-2.0,1,239,S,1496.8093807092691,25.645940409910338,25.645940409910338,0.0
-2.0,4,0,L,1591.7817377291462,25.461997941225974,25.75827167707515,0.2962737358491765
-2.0,4,1,L,1591.3592626893449,25.141788541896307,25.45143262582354,0.30964408392723186
-2.0,4,2,L,1590.9370118483712,25.005437528638303,25.320728464535826,0.3152909358975222
-2.0,4,3,L,1590.5149850278065,24.924557300535675,25.243276724122993,0.31871942358731786
-2.0,4,4,L,1590.0931820494206,24.870229900304288,25.191341103039257,0.3211112027349685
-2.0,4,5,L,1589.6716027351729,24.83132724529313,25.154236415712067,0.3229091704189351
-2.0,4,6,L,1589.2502469072106,24.80241150052003,25.126737202489426,0.32432570196939636
-2.0,4,7,L,1588.8291143878705,24.7804253036863,25.10590373656232,0.3254784328760181
-2.0,4,8,L,1588.408204999677,24.763481733226357,25.08992080491941,0.3264390716930521
-2.0,4,9,L,1587.9875185653427,24.750335927455076,25.077590361230758,0.327254433775682
-2.0,4,10,L,1587.5670549077681,24.740124419948124,25.068081123430023,0.32795670348189887
-2.0,4,11,L,1587.146813850041,24.732224485354152,25.06079340425081,0.3285689188966572
-2.0,4,12,L,1586.7267952154368,24.726172824579336,25.055280940440056,0.32910811586071986
-2.0,4,13,L,1586.3069988274174,24.721615905910635,25.05120313923648,0.32958723332584583
-2.0,4,14,L,1585.8874245096317,24.718278251547492,25.048294573109125,0.33001632156163296
-2.0,4,15,L,1585.4680720859158,24.715941416571873,25.0463447542522,0.3304033376803268
-2.0,4,16,L,1585.0489413802907,24.71442960946286,25.045184295812973,0.3307546863501116
-2.0,4,17,L,1584.6300322169648,24.713599586253764,25.04467518369561,0.33107559744184556
-2.0,4,18,L,1584.211344420331,24.713333379451537,25.044703775512023,0.33137039606048546
-2.0,4,19,L,1583.7928778149692,24.71353295761177,25.045175657242208,0.33164269963043935
-2.0,4,20,L,1583.3746322256436,24.714116230659577,25.046011795019822,0.33189556436024503
-2.0,4,21,L,1582.9566074773036,24.715014012707492,25.047145608549343,0.3321315958418509
-2.0,4,22,L,1582.5388033950837,24.71616767872217,25.048520712485942,0.33235303376377345
-2.0,4,23,L,1582.1212198043024,24.71752733232412,25.050089149952154,0.33256181762803294
-2.0,4,24,L,1581.7038565304633,24.719050355755773,25.051809994072563,0.3327596383167908
-2.0,4,25,L,1581.2867133992536,24.720700249475072,25.053648228449482,0.33294797897440986
-2.0,4,26,L,1580.8697902365443,24.722445693963017,25.055573841684794,0.33312814772177646
-2.0,4,27,L,1580.45308686839,24.724259783962637,25.057561088018897,0.3333013040562598
-2.0,4,28,L,1580.0366031210292,24.726119397922016,25.059587878241423,0.33346848031940723
-2.0,4,29,L,1579.6203388208826,24.72800467447933,25.06163527375499,0.3336305992756614
-2.0,4,30,L,1579.2042937945544,24.72989857445839,25.06368706305585,0.3337884885974596
-2.0,4,31,L,1578.7884678688315,24.731786511749178,25.06572940461947,0.33394289287029366
-2.0,4,32,L,1578.3728608706829,24.73365604011923,25.067750523713556,0.3340944835943276
-2.0,4,33,L,1577.9574726272597,24.735496585775564,25.069740453332628,0.33424386755706337
-2.0,4,34,L,1577.5423029658953,24.737299217614236,25.071690811487294,0.3343915938730575
-2.0,4,35,L,1577.127351714104,24.739056448723925,25.07359460865078,0.3345381599268542
-2.0,4,36,L,1576.7126186995822,24.74076206397529,25.075446080384097,0.33468401640880785
-2.0,4,37,L,1576.2981037502077,24.74241096951748,25.077240541114705,0.3348295715972256
-2.0,4,38,L,1575.8838066940384,24.743999060783604,25.07897425579536,0.3349751950117543
-2.0,4,39,L,1575.469727359314,24.7455231062263,25.080644326766762,0.33512122054046145
-2.0,4,40,L,1575.055865574453,24.746980644499622,25.08224859362473,0.3352679491251074
-2.0,4,41,L,1574.6422211680565,24.748369893201975,25.083785544276576,0.3354156510746016
-2.0,4,42,L,1574.2287939689036,24.749689667616863,25.08525423568213,0.3355645680652657
-2.0,4,43,L,1573.8155838059542,24.75093930815159,25.086654223028397,0.3357149148768066
-2.0,4,44,L,1573.4025905083472,24.752118615389076,25.087985496294486,0.33586688090541017
-2.0,4,45,L,1572.9898139054012,24.753227791846435,25.089248423335345,0.3360206314889105
-2.0,4,46,L,1572.5772538266135,24.754267389682155,25.090443698755927,0.33617630907377105
-2.0,4,47,L,1572.1649101016603,24.75523826371926,25.091572297968217,0.33633403424895647
-2.0,4,48,L,1571.7527825603972,24.756141529258784,25.09263543592697,0.3364939066681849
-2.0,4,49,L,1571.340871032857,24.75697852425259,25.093634530131013,0.3366560058784209
-2.0,4,50,L,1570.9291753492512,24.757750775490436,25.094571167559963,0.3368203920695265
-2.0,4,51,L,1570.5176953399687,24.75845996853975,25.095447075296576,0.3369871067568262
-2.0,4,52,L,1570.1064308355772,24.75910792126448,25.096264094669742,0.33715617340526194
-2.0,4,53,L,1569.6953816668206,24.75969656085209,25.097024158852214,0.337327598000126
-2.0,4,54,L,1569.2845476646205,24.76022790441371,25.09772927397822,0.33750136956451016
-2.0,4,55,L,1568.8739286600755,24.760704043421725,25.098381504038805,0.3376774606170798
-2.0,4,56,L,1568.4635244844612,24.76112713257555,25.098982960128033,0.33785582755248456
-2.0,4,57,L,1568.0533349692294,24.761499384265214,25.099535795173303,0.33803641090808867
-2.0,4,58,L,1567.6433599460074,24.76182307092276,25.100042206366805,0.3382191354440458
-2.0,4,59,L,1567.2335992465999,24.762100539913607,25.100504449801086,0.3384039098874787
-2.0,4,60,L,1566.8240527029868,24.76233425115256,25.10092487716598,0.3385906260134206
-2.0,4,61,L,1566.4147201473234,24.76252686244656,25.101306018705294,0.33877915625873456
-2.0,4,62,L,1566.0056014119407,24.762681435544906,25.1016507830675,0.3389693475225961
-2.0,4,63,L,1565.5966963293447,24.762802045761173,25.10196304781882,0.3391610020576472
-2.0,4,64,L,1565.1880047322159,24.76289677609387,25.102250557812965,0.3393537817190939
-2.0,4,65,C,1564.77952645341,24.81727134606643,25.16118096531464,0.3439096192482083
-2.0,4,66,C,1564.3712613259574,24.817521765376384,25.161489668423172,0.3439679030467886
-2.0,4,67,C,1563.9632091830617,24.817756362953183,25.161783817437158,0.34402745448397454
-2.0,4,68,C,1563.5553698581014,24.817970867290118,25.16205916981175,0.3440883025216337
-2.0,4,69,C,1563.147743184628,24.818164786862674,25.162315136978993,0.344150350116319
-2.0,4,70,C,1562.7403289963675,24.818338619126436,25.162552081173004,0.344213462046568
-2.0,4,71,C,1562.3331271272182,24.818493251967276,25.16277073624898,0.34427748428170446
-2.0,4,72,C,1561.9261374112523,24.8186297501389,25.16297200148432,0.3443422513454202
-2.0,4,73,C,1561.5193596827141,24.818749259343424,25.163156849365134,0.34440759002171006
-2.0,4,74,C,1561.1127937760211,24.818852957120335,25.163326278731514,0.3444733216111793
-2.0,4,75,C,1560.7064395257632,24.818942025683853,25.163481289193168,0.34453926350931496
-2.0,4,76,C,1560.3002967667016,24.819017636309685,25.163622866736052,0.34460523042636737
-2.0,4,77,C,1559.894365333771,24.81908094035191,25.163751975749022,0.34467103539711275
-2.0,4,78,C,1559.4886450620768,24.819133064338267,25.163869554993234,0.3447364906549666
-2.0,4,79,C,1559.0831357868954,24.819175107724043,25.163976516133598,0.3448014084095554
-2.0,4,80,C,1558.677837343676,24.819208142471204,25.164073744019927,0.34486560154872237
-2.0,4,81,C,1558.2727495680374,24.819233213947346,25.16416209822328,0.3449288842759337
-2.0,4,82,C,1557.8678722957702,24.819251342836786,25.164242415524967,0.3449910726881811
-2.0,4,83,C,1557.4632053628354,24.81926352788653,25.16431551318206,0.3450519852955303
-2.0,4,84,C,1557.058748605364,24.81927074940621,25.164382192887338,0.34511144348112666
-2.0,4,85,C,1556.6545018596576,24.81927397352451,25.16444324542246,0.34516927189795155
-2.0,4,86,C,1556.2504649621876,24.81927415728789,25.164499456084506,0.3452252987966169
-2.0,4,87,C,1555.846637749595,24.81927225478591,25.164551611061754,0.3452793562758423
-2.0,4,88,C,1555.4430200586908,24.819269224616086,25.164600505059784,0.3453312804436983
-2.0,4,89,C,1555.0396117264547,24.819266039185116,25.16464695065764,0.3453809114725246
-2.0,4,90,C,1554.636412590036,24.819263696622187,25.164691790144317,0.34542809352213055
